Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
DECK,1063.23,2024/05/28,14:29 EDT,30.329956,1040.0,1070.05,1038.06,354081,,,,,,,
WDAY,215.19,2024/05/28,14:29 EDT,-5.720001,219.04,219.53,211.29,5127407,,,,,,,
INTU,595.14,2024/05/28,14:29 EDT,-11.849976,604.58,605.1039,592.14,1690500,,,,,,,
MDT,82.065,2024/05/28,14:30 EDT,-0.22499847,82.13,82.74,81.87,4382715,,,,,,,
CLBT,10.885,2024/05/28,14:30 EDT,-0.21500015,11.02,11.275,10.695,989793,,,,,,,
RL,180.805,2024/05/28,14:30 EDT,7.3549957,174.57,181.15,173.63,565029,,,,,,,
SNPS,589.625,2024/05/28,14:29 EDT,2.2249756,581.38,592.345,581.2424,495533,,,,,,,
SNOW,150.44,2024/05/28,14:30 EDT,-5.720001,156.07,156.47,150.4,3671284,,,,,,,
TGT,146.275,2024/05/28,14:30 EDT,1.0449982,145.0,147.4401,144.53,2545915,,,,,,,
XPEV,8.385,2024/05/28,14:30 EDT,0.18500042,8.185,8.48,8.135,6869140,,,,,,,
LOW,214.36,2024/05/28,14:30 EDT,-0.8500061,214.78,216.7999,214.23,1483595,,,,,,,
ZIM,21.275,2024/05/28,14:29 EDT,0.2349987,21.95,22.34,20.89,5212458,,,,,,,
ZM,62.205,2024/05/28,14:29 EDT,-0.8049965,62.96,63.04,61.705,1702257,,,,,,,
PANW,310.77,2024/05/28,14:30 EDT,-10.830017,320.1,321.85,307.07,3076308,,,,,,,
WIX,165.505,2024/05/28,14:30 EDT,-4.494995,169.0,169.24,164.29,328324,,,,,,,
LI,20.27,2024/05/28,14:30 EDT,-0.03999901,20.535,20.95,20.15,5519982,,,,,,,
PG,162.5,2024/05/28,14:30 EDT,-2.8300018,164.49,164.755,162.26,2783280,,,,,,,
AXP,236.52,2024/05/28,14:29 EDT,-1.6599884,237.75,238.47,235.88,1074096,,,,,,,
TSM,158.78,2024/05/28,14:30 EDT,-1.2200012,159.68,160.38,157.6,10464107,,,,,,,
JNJ,144.219,2024/05/28,14:30 EDT,-2.751007,146.79,146.79,144.18,5108762,,,,,,,
MS,98.565,2024/05/28,14:30 EDT,-0.40499878,98.43,99.46,98.4,2101387,,,,,,,
UAL,50.82,2024/05/28,14:29 EDT,-0.90999985,51.8363,51.9295,50.78,1886792,,,,,,,
BAC,39.18,2024/05/28,14:30 EDT,-0.52000046,39.65,39.739,39.17,14882726,,,,,,,
GS,460.025,2024/05/28,14:30 EDT,-1.1549988,459.94,463.69,459.32,1082076,,,,,,,
CVX,158.6905,2024/05/28,14:30 EDT,0.940506,158.12,159.42,157.95,3745231,,,,,,,
CAT,345.28,2024/05/28,14:30 EDT,-3.619995,348.0,349.2317,344.4,1233422,,,,,,,
AAL,13.6039,2024/05/28,14:30 EDT,-0.2361002,13.82,13.905,13.59,18539727,,,,,,,
IBM,168.89,2024/05/28,14:30 EDT,-2.0,170.44,171.085,168.88,1251035,,,,,,,
